"lambda_1_social","lambda_1_kerorice","lambda_1_advice","lambda_1_decision","lambda_1_jati","lambda_1_union_link","lambda_1_intersect_link","lambda_1_backbone","lambda_1_union_wtd","lambda_1_raw_wtd","village"
9.05081636248004,8.06803562337964,7.40567827814696,7.91021759166485,61.0000000000001,61.5335036632311,5.22139173069596,24.5953124731698,83.2746209919264,22.1229090233812,38
10.4560756695664,8.30259871442162,8.45164389847102,9.68144528957834,95,95.0855834450297,5.20056937498814,34.8494938161467,120.473214370309,22.6956576931747,39
7.67365176121678,6.78312794417303,4.83778700259641,5.95849470328587,30.0000000000001,31.406891818934,2.64118647619329,13.7520193473205,44.741633071458,14.4215741171749,41
7.96286511833332,6.40069600833686,6.61967840846849,6.59769431901101,68,68.1184898353918,4.24729872139809,23.3641531863775,81.5151254095658,20.6945916332855,42
9.16701689906438,8.60306051724999,6.62287985493021,7.87404005985525,146,146.065645617466,5.42967363702261,46.6332966913092,165.65586934987,20.3348512346485,43
8.52615941431686,7.9874688684944,7.08623229117762,7.11095116347099,58.0000000000001,58.9959481246001,5.11494567314581,23.7624518929937,80.2799929220558,24.4100368289426,44
12.9354442673356,12.4581820657278,9.51151026367935,10.225178162253,58.9999999999999,60.0667070233611,4.92878799359261,27.7818917285121,90.8889198814928,28.647676248291,45
9.07997624083232,8.43919662707649,7.49102821906885,6.9484265674392,45.0000000000001,45.3557974023799,6.07394654221413,19.3045785377679,63.9531196429754,23.3442476894834,46
7.62037708959035,7.28489549265633,5.31332753414457,5.87148698929764,54,54.2835588053244,4.05508811112893,18.9354773168264,65.4106540425744,18.0084901019596,47
7.47819733246764,6.79866156798438,6.50739228711212,6.21732496652759,101,101.055841160856,5.52946623825626,32.9278603010594,116.42461474791,17.6814662668454,48
10.532207046544,9.35545923042514,8.61515801753428,9.40619924932421,79.9999999999999,80.1323911550151,5.46250836494654,29.3281100566555,101.082448827247,25.0924270516366,49
8.1862362769194,6.96359658943798,6.25224386298478,7.85552276005743,116,116.065610144218,4.66626998744165,36.9386236698258,131.246390138373,18.2778596238297,50
9.08225723491391,9.05408078823744,7.84520458351622,8.684448763903,87.9999999999999,88.1050112187171,5.80628588781088,30.5912665064071,106.517570592625,20.4695515994942,51
8.94187764453729,8.52487034857434,11.1916742604915,11.1533533345552,92.9999999999998,93.0388342079463,5.64923613622054,30.5799095217612,108.18933277,21.6136264357966,52
8.60699453049808,8.12240562827775,7.9050311253497,7.92349102216045,90,90.0906223174629,5.57167657400629,31.1203645988156,108.717974094467,23.0198713935063,53
8.43238376887912,7.55492177102228,5.83465500749853,6.25207957349178,43,43.6889606406592,3.68119453192205,16.7875111989263,56.6564753063847,20.3349364638078,54
7.14595270638787,6.32889685770897,6.51510170304484,6.57564307663619,168,168.002254731072,5.63157681569871,51.6641382896201,185.501394903996,18.8283654802095,55
9.10684407556445,8.379580587339,6.52490972751466,9.97004085117383,47,47.649552950698,5.99310523493809,19.1761926180587,63.182263198893,21.3458266364955,56
4.74067491889428,4.13596514517438,4.33038941996254,4.16719616218797,57,57.0170387895871,3.13837089287812,18.7137615289326,66.1587620455937,12.0000000000001,57
8.15049143947094,7.10746380671845,6.86893295768594,7.07936263299053,43,43.4588256674604,5.32572692248796,18.7250966483539,62.3236818533859,19.7035622092628,58
7.64649045070598,6.73945399567325,6.50897333796737,6.54626108916836,82,82.2067664514131,4.75051515445346,27.5753262062217,96.4859037592198,19.1060042459855,59
8.63362383024449,7.37359172248923,7.07241952188293,7.31562614898248,76.9999999999999,77.1672119585045,4.45177415616564,26.0730809134682,90.9976347733888,21.892276121854,60
10.9416966384726,11.3098747536358,8.14645147901058,13.635300669003,95.9999999999999,96.4401388731996,3.98181314541528,32.2864247603214,112.492514938855,20.5604783051651,61
10.2204563168421,9.34356637912189,7.37309715139617,7.72805440639372,110,110.110657425337,4.18158678640509,36.0815093404175,127.146445050798,24.623812447745,62
8.72493648285377,8.0174665534862,6.84905959726162,7.23677833706749,118,118.051093751103,6.18306227595896,38.947778906418,137.429321647866,20.0342264023144,63
9.51141099175365,8.4062769616532,7.3691189313506,6.82659202671612,104,104.116018280908,5.7755631111989,35.1657057017537,123.310876055006,21.3893482218301,64
5.60938367658662,5.16582545027847,6.48509719913635,6.89893012873364,129,129.021488504495,4.64622688668205,37.2823671543245,135.59404806603,14.2274610988634,65
10.7942204026427,9.96626285936336,7.05549538548105,11.6143501672304,71,71.6686660531595,3.17357749766653,25.7537883491418,87.9533606572213,20.4991678662133,66
7.44893835804229,7.14246050295132,6.22812778465718,6.06583368433118,62,62.2796130379035,3.94652858995214,22.0179292101541,75.802137326273,19.1411467749458,67
6.71668006349112,5.52371253799,5.4146009192079,5.14268897365489,140,140.019107692732,4.41925266061943,42.0183323654988,151.485942968197,17.5014712345285,68
7.92939808801914,7.12344770341762,7.15291657798796,7.33991018622799,57,57.1043250644019,5.0657195925289,21.2664626641879,72.9777265460921,21.9072030456734,69
8.41635117286826,7.54128660939339,6.60389632476779,6.21754441426682,40,41.0879372608095,4.49619256582724,18.1410579157981,59.8486531862038,23.8566205132265,70
6.7452245682647,5.85480085844682,5.85721033870194,5.68630153415985,62,62.1816296500226,4.03500209494819,21.1345947425426,73.5523808624517,17.3055554232158,71
