"village","sum_social","sum_kerorice","sum_advice","sum_decision","sum_jati","sum_union_link","sum_intersect_link","sum_backbone","sum_union_wtd","sum_raw_wtd","link_no_jati","intersect_link_no_jati","backbone_no_jati"
18,19.10372476676,21.1014780718484,15.0514772874833,16.2734243820823,5.19444444444444,13.70459428834,11.2534180847929,24.4500165077016,14.7606766229792,39.7038846022748,15.0903820742149,18.1043728233378,19.4619187957856
19,39.3877928347092,41.3713842888668,42.0317061335156,38.1896785665761,5.47435897435897,11.4702491558351,20.1144770074744,26.8348023533937,13.3284969810727,20.6026996289243,35.042182369293,44.8919324642652,42.2436262771848
20,3.649301005542,1.47204344539325,2.01106441547862,1.64552121938896,1,1.3426515963055,1,1.77905136585923,1.43543989991173,1,3.01056583206314,1,2.31937204766695
21,8.48823072642748,8.06518727373652,6.60469938284337,6.55533903733668,4.81927710843373,9.07630580531155,5.03296500667514,19.3756562714098,9.28538286862385,11.642394938932,6.01461261487866,6.05611666981997,8.2660140508583
22,37.5063512006173,31.2561569325095,16.4749088229124,16.4991166328404,7.94871794871796,25.2343033696075,5.05568228896918,37.7694964468838,22.9784082235131,40.9898683609712,22.3734517281552,18.1822240266758,27.4593361359497
23,30.8638362890792,30.9763341416194,21.6123961862006,49.456566039232,6.61666666666667,14.8680022461566,9.94938895419207,33.0637364955362,17.6425559649396,22.9946691225559,40.0027857432727,11.2011697815714,44.3036549159413
24,15.1024594896691,13.1040040573826,4.53477114161722,5.15468822937441,5.65853658536586,13.0878091477206,5.08979142294029,28.703072100971,13.5494468265684,13.9521010594479,7.40962743684962,9.6610044118438,9.02498175158969
25,26.6691161340961,28.5774896207883,50.5090931842793,24.4681549997864,7.0090909090909,9.39300650750726,27.8118647265695,15.1894050370349,11.7167659970511,31.6550380738501,23.5080406047367,60.5790608325933,42.91323770273
26,23.2945971048131,23.9543437228544,22.6842559218635,20.7575900587289,5.39999999999999,12.1485583194649,21.6052086279082,23.3219117751485,14.381075564987,16.8536939241012,20.8062494904002,27.4753664956862,27.1613660449859
28,35.9637315826411,25.0656906611342,27.6309038066237,23.4746551193111,8.22727272727272,17.6603867993461,19.8560387969552,36.5714170046634,19.5012423088354,25.4663505616474,28.5419549076813,33.2328745488232,34.4364965777649
29,20.9098716849738,18.1130071767341,19.2832500680985,17.081482950855,4.64814814814815,10.1830452616096,16.8077017458224,15.5126894662149,11.1206328631285,15.3937313975962,17.5873248063119,22.1877547908166,22.8780570526499
30,38.6899885894327,47.713939539148,53.6911727482097,40.8350333274107,8.01250000000002,20.3055470587608,35.6386098456013,39.04099329584,21.6358158887546,31.869431134253,32.8236264857327,39.3960750064965,56.2950248960799
31,8.15997776254404,8.69852719723336,9.36127743936664,9.86917636632875,3.54761904761904,7.51315742621322,2.84264038132204,15.1219905506378,7.73807903028031,12.0157773765,9.60456501381621,2.65530220069759,12.2189876635316
32,6.74987972650929,5.2206952655814,6.14923020775141,4.50001930860858,1.36363636363637,1.99378808820518,1,3.32257593531645,2.40552643292811,8.67313354140144,7.68440470654197,2.61896513110143,7.30411264481374
33,26.1026081466023,26.1487779583537,19.9829145425838,21.7277556286315,6.72131147540984,18.3915666176176,8.67212519739361,33.4167605670434,20.2764611452676,25.2138651846618,21.8682569047291,25.2103867767433,30.9215301702461
34,19.6286081889154,19.1817277965749,22.878321005081,14.0020197776968,5.23148148148149,11.5787941308732,6.51361017289494,24.385070361025,12.3449763332845,16.103243665663,14.579128841269,11.0660861209707,21.3928655571279
35,25.5895281387473,25.4492386753244,27.6997253972249,23.5384258430698,7.30322580645158,16.7073139539434,18.5622707740951,23.7215613972675,17.160654781916,29.3682582817695,26.3639585633293,26.11690505323,26.763152859653
36,22.4693937911447,19.3823159262857,22.9938055639512,29.3101162155453,5.99999999999999,15.4671547226922,12.6470225702792,23.2548566013608,16.3905983405201,18.5988937162789,24.418888878095,24.5573116241018,29.074666410562
37,27.8157962365228,28.1139177862088,26.8403377384172,28.9136472626533,6.13793103448275,10.8680062208637,21.2167901458965,21.1025588157647,13.9967096195869,23.7257577188519,26.8757508106757,27.0573591494149,30.50966389605
38,25.0039147451285,29.5560370540311,30.9515971066563,29.8095412684568,7.31147540983607,15.7078061639462,9.09632951895656,26.2434975900285,16.8160167363418,37.3048267657944,26.5163862995038,32.1771929615242,31.7570250242512
39,7.69832870809027,7.51923003667777,6.65328925498112,4.66741559675476,2.07368421052632,2.45451267105699,2,3.51943225398915,2.88713825731859,8.7861679610746,6.68404619205957,4.48398374843645,7.99235967941764
41,26.8846410068029,26.1155517131345,28.5957229991117,18.1272727727062,8.36666666666666,21.302933524197,5,48.520228037714,20.2619235824034,20.1076204560142,23.6106572180604,12.4530705933935,39.7064182759173
42,21.3485241425185,18.5659024357446,16.2261118268426,16.107677004284,7.08823529411764,9.96364097602416,6.42541375602455,14.3927288630385,11.425761620916,16.3247079923809,21.8289370262834,18.9622042104189,19.4007885478385
43,26.0436838329454,23.2674607610744,17.1378917273583,18.9629625284852,5.52739726027397,9.0230324805715,5.89249424473368,16.355818438952,9.38034533585146,28.1840144934979,27.7943762535086,9.21329686599114,22.845655005344
44,36.2828988248337,30.0754994366997,27.9797159980538,28.9263635633447,5.48275862068965,13.0508478017404,16.3119578233809,27.5715564315671,15.042763904262,17.8216143065544,25.510876016253,33.8132836297509,33.1991356973387
45,6.62888680508434,5.45705833933558,4.39051129009696,4.48316158114223,1.89830508474576,4.45608008012367,6.52760068198989,7.08993503531052,5.02392838453393,5.7080808285559,6.6131313957587,4.42272226781702,6.42691094813181
46,5.40540479776198,5.96135401567133,6.52584601549773,7.51699162378196,1.13333333333333,1.54858669031567,3.43341150772379,4.06316785309282,2.60789578706389,7.61822862254521,5.06602266860818,7.74200025500185,7.62938339364304
